,age,lake,lakenorm,char,charnorm,Poa,Poanorm,Podo,Podonorm,Miombo,Miombonorm,Olea,Oleanorm,rich,richnorm,Asters,Age
99,130.469828,-0.234525027,0.09695923,21.15573193,0.374981436,45.32019704,0.347993019,26.3546798,0.650569491,1.97044335,0.651899804,4.679802956,0.627322164,7.202196245,0.978974736,0.492610837,>85 ka
100,130.7701005,-0.148079821,0.19998014,9.724398084,0.341296644,56.16161616,0.57903296,21.41414141,0.508202075,1.818181818,0.610176373,4.444444444,0.597731449,5.044231261,0.757117537,0.202020202,>85 ka
101,131.0855258,-0.124766048,0.236274182,15.7921066,0.359039027,47.12643678,0.384982794,19.54022989,0.452886043,2.298850575,0.735380244,3.448275862,0.468256318,6.662245653,0.955316433,0.383141762,>85 ka
102,131.2501909,-0.053672411,0.366106939,17.45171859,0.363947244,56.06557377,0.576987227,16.72131148,0.371693639,1.31147541,0.464725304,4.262295082,0.574429684,6.69412964,0.957145851,0.655737705,>85 ka
103,131.2800902,-0.043110108,0.387325378,16.08406493,0.359900821,44.6969697,0.335538386,23.48484848,0.569100944,3.03030303,0.877147655,4.04040404,0.545696638,7.046224847,0.973594338,0,>85 ka
104,131.5734361,-0.017712993,0.439624781,33.92783813,0.413766876,56.7032967,0.590529463,19.12087912,0.440593674,2.197802198,0.710797927,4.395604396,0.591513857,5.61754341,0.853597532,0,>85 ka
105,131.798596,-0.035393676,0.403046583,17.29944627,0.363495961,53.4591195,0.520857863,21.5932914,0.513498984,2.096436059,0.685109899,4.612159329,0.618885767,5.873995574,0.887005037,0.209643606,>85 ka
106,132.1598387,-0.126438571,0.233555335,42.32894535,0.439771877,47.81609195,0.399408757,23.2183908,0.56132531,2.528735632,0.787061343,6.666666667,0.835774462,6.603753804,0.95179715,0,>85 ka
107,132.5160059,-0.12557203,0.23496181,47.89042852,0.457138477,51.4893617,0.478101411,17.23404255,0.386154278,3.191489362,0.899376831,6.808510638,0.847039587,6.510923968,0.945760238,0.212765957,>85 ka
108,132.8084691,-0.062448684,0.348779606,17.00162432,0.362613866,61.08695652,0.679941987,17.39130435,0.3906225,2.608695652,0.803554861,3.913043478,0.529085797,6.892876306,0.967227674,0.434782609,>85 ka
109,133.0921119,-0.277301601,0.063579019,29.09312856,0.398963546,49.73262032,0.440165591,17.9144385,0.405587235,2.406417112,0.760327151,5.614973262,0.736264518,7.104984543,0.975742968,0.267379679,>85 ka
110,133.4072504,-0.1445811,0.2052027,18.27085603,0.366378112,55.85106383,0.572410674,17.55319149,0.39523727,3.723404255,0.952008413,6.914893617,0.855144123,3.974495915,0.513882639,0,>85 ka
111,133.7559419,-0.139327736,0.213194836,53.02349637,0.473241035,52.18978102,0.493301632,17.88321168,0.404689843,1.824817518,0.612025503,7.664233577,0.90402481,5.768916326,0.874040482,0,>85 ka
112,134.162159,0.080030841,0.642534819,40.74195051,0.434835931,57.79467681,0.613448204,11.02661597,0.226753077,1.901140684,0.633101823,1.901140684,0.278360174,7.20516873,0.979067517,0,>85 ka
113,134.3912359,0.084332825,0.650993598,31.05147513,0.404943572,17.79661017,0.029444454,41.24293785,0.931978771,2.542372881,0.789930139,12.71186441,0.998473895,5.200465061,0.786338877,0,>85 ka
114,134.8470888,0.069024945,0.62058223,47.70260531,0.456550441,32.82275711,0.142071969,39.8249453,0.917059355,3.282275711,0.910525734,3.06345733,0.418385728,6.388254112,0.936882909,0.437636761,>85 ka
115,135.1002989,0.100574807,0.68222893,58.76837316,0.491313611,63.46863469,0.724808362,11.80811808,0.244581384,2.21402214,0.714815192,1.47601476,0.233512645,5.434989875,0.826127565,0.36900369,>85 ka
116,135.2470421,0.107251184,0.69471694,33.54074623,0.41257682,57.68261965,0.611111707,15.86901763,0.348060838,3.274559194,0.909615425,2.518891688,0.350172182,6.374530959,0.93582318,0.251889169,>85 ka
